"Account number","Numéro de compte"
"Maximum length of 255 characters exceeded.", "A dépassé le nombre maximal de 255 caractères."
"Invalid items found.", "La demande contenait des positions de panier non valables. Veuillez corriger ceci ou contacter le gérant de la boutique en ligne."
"Payment not possible with this service.", "Veuillez au moins indiquer le titulaire du compte et essayez de nouveau ensuite."
"Transaction with same data already created.", "Eine Transaktion mit den von Ihnen übermittelten Daten existiert bereits."
"This service is currently only accessible by non-commercial customers.", "Kauf auf Rechnung steht momentan nur Privatkunden zur Verfügung."
"Version Number","Numéro de version"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/de/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/fr/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/fr/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/fr/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/fr/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/fr/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/fr/su/banner_300x100.png"
