"Account number","Numero di conto"
"The invoice has been canceled.","La fattura è stata annullata. Importo accreditato."
"Configuration key","Chiave di configurazione"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","La fattura è stata annullata %s"
"Successfully canceled invoice. Credit memo created: %s","La fattura è stata annullata. Importo accreditato. %s"
"Banner or text","Banner o testo nella selezione delle opzioni di pagamento"
"All products deactivated due to errors, initiation aborted.", ""
"Must not be empty.", "Die Daten sind unvollständig oder fehlerhaft. Bitte korrigieren Sie diese oder kontaktieren Sie den Shopbetreiber."
"Not in list of valid values.", "Nicht im Bereich gültiger Werte."
"Must be a positive number.", "Il valore deve essere positivo."
"Unsupported currency.", "Al momento vengono supportati solo ordini in Euro. Si prega di correggere il valore e riprovare di nuovo."
"Amount is out of range.", "Der Gesamtbetrag ist zu groß oder zu klein. Bitte korrigieren Sie dies oder kontaktieren Sie den Shopbetreiber."
"Invalid characters.", "Caratteri sconosciuti"
"Maximum length of 27 characters exceeded.", "Maximale Anzahl an Zeichen überschritten (max. 27)."
"Invalid email address.", "L'ordine non può essere effettuato a causa dell'indirizzo e-mail non valido. Si prega di correggerlo e riprovare di nuovo."
"Invalid phone number.", "Die Bestellung kann aufgrund fehlerhafter Telefonnummer nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Invalid country code.", "Il codice del paese non è supportato. Si prega di rivolgersi al vostro fornitore."
"Unsupported country code.", "Il BIC indicato non è valido."
"Invalid BIC.", "Die Bestellung kann aufgrund fehlerhafter BIC (Bank Identifier Code) nicht durchgeführt werden. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Only German addresses (DE) are supported.", "Die Bestellung kann aufgrund fehlerhafter Länderkennung nicht durchgeführt werden. Die Liefer-/Rechnungsadresse muss in Deutschland liegen. Bitte korrigieren Sie diese und versuchen Sie es dann erneut."
"Product only supports German sender accounts.", "Es werden nur deutsche Konten unterstützt. Bitte korrigieren Sie dies oder wählen Sie eine andere Zahlart."
"Invoice amount exceeds amount limit in factoring contract.", "L'importo totale è troppo alto. Bitte Si prega di correggerlo e riprovare di nuovo."
"Invoice amount is lower than minimum amount defined in project settings.", "L'importo totale è troppo basso. Si prega di verificare i dati e riprovare."
"Invalid tax, allowed values are: 7, 19.", "Valore per l'IVA errato. Valori validi: 7,19."
"Validation of given bank account and bank code failed.", "Die Validierung des Bankkontos und der Bankleitzahl ist fehlgeschlagen."
"Maximum length of 255 characters exceeded.", "È stato superato il numero massimo di 255 caratteri."
"Invalid items found.", "Die Anfrage enthielt ungültige Warenkorbpositionen. Bitte korrigieren Sie dies oder kontaktieren Sie den Shopbetreiber."
"Payment not possible with this service.", "Bitte geben Sie mindestens den Kontoinhaber an und versuchen Sie es dann erneut."
"Transaction with same data already created.", "Eine Transaktion mit den von Ihnen übermittelten Daten existiert bereits."
"This service is currently only accessible by non-commercial customers.", "Kauf auf Rechnung steht momentan nur Privatkunden zur Verfügung."
"Version Number","Versionsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/de/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/de/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/de/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/de/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/de/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/de/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/de/su/banner_300x100.png"
